mine_type,historical_avg,planned_tonnes,downtime_hours,rainfall,forecast_tonnes
underground,12248.3,13578.3,190.3,741.0,10736.4
underground,15331.4,15846.9,194.5,1384.9,10650.7
opencast,8213.3,9013.2,87.6,1493.8,7248.4
underground,8179.1,8734.0,192.2,1097.5,6549.5
opencast,9789.0,10183.9,60.8,1337.8,9414.2
opencast,10369.7,11324.4,20.2,1657.7,10313.7
underground,15369.4,16471.1,128.9,1590.9,12746.6
opencast,17812.0,19354.6,125.6,1691.5,14406.5
opencast,12137.9,13587.3,103.5,1459.7,11341.6
opencast,13548.6,13553.3,101.2,1391.7,12859.2
opencast,16660.4,18379.0,100.4,1143.9,16469.1
underground,6301.6,6617.3,150.5,1780.3,4274.5
opencast,6174.5,6386.9,98.9,1479.0,4807.9
opencast,11779.0,12751.9,115.6,1534.2,9921.2
underground,17319.1,18732.2,106.7,1343.9,14649.5
underground,6659.9,7228.6,183.2,1266.9,5693.6
underground,8720.9,8789.9,172.8,1556.2,7065.0
opencast,13927.2,14178.4,129.0,1353.6,11588.0
opencast,16416.7,17893.6,31.7,1412.8,17893.6
underground,11949.7,13148.3,106.4,1412.0,11875.6
opencast,14636.6,15105.7,44.1,1093.2,14464.7
opencast,16986.1,18036.3,20.4,715.0,16730.5
underground,12915.0,12960.0,125.2,1426.3,11193.3
opencast,6214.5,6345.6,47.7,981.8,5502.7
underground,8765.6,9275.3,189.2,1547.8,7103.8
underground,12419.0,13386.6,141.0,1637.8,10375.7
opencast,17772.7,17793.7,106.8,1075.0,16400.8
opencast,12322.4,13475.8,39.8,1706.1,11224.9
underground,7620.6,7934.3,174.5,1711.9,6052.0
opencast,10004.6,11123.3,108.9,1197.4,10421.3
opencast,10802.5,11121.0,30.6,951.0,10165.3
opencast,15118.3,15913.2,125.7,873.8,12523.0
underground,16389.1,17911.7,145.0,1243.9,13693.0
opencast,11743.8,11820.8,71.7,1651.4,11441.5
opencast,11117.8,11363.3,91.5,891.6,9892.2
opencast,14128.2,14454.6,57.7,1346.8,12693.5
opencast,8104.5,8677.4,88.7,1110.8,7970.3
opencast,11155.0,11749.7,67.3,1331.4,10825.9
opencast,8725.5,9375.1,50.4,1795.1,8544.0
opencast,9983.4,11075.5,129.3,924.5,10032.8
underground,12317.0,13059.3,143.2,918.7,11045.4
opencast,17358.3,18107.9,102.5,953.6,15244.0
opencast,6935.7,7482.2,70.6,1106.4,6122.4
underground,16829.2,17339.3,168.4,728.8,13420.6
opencast,11228.3,12116.5,81.0,1682.9,8957.6
underground,16358.4,16949.0,100.3,840.0,14412.6
opencast,14824.3,15369.5,46.0,1097.9,14659.9
opencast,7947.7,8451.6,64.2,1535.7,8017.6
underground,15695.1,17365.9,151.6,1609.8,13006.9
underground,10872.6,11712.2,83.9,1282.5,10650.1
underground,13772.0,14863.8,114.0,1059.1,12292.6
underground,7000.0,7625.0,110.0,1549.1,6682.2
opencast,7725.4,8335.6,29.3,1338.7,7783.6
opencast,12289.8,13393.8,108.6,750.0,10514.7
opencast,15279.0,15408.8,80.2,1527.6,13638.6
opencast,14583.3,16037.6,117.7,925.9,13470.8
underground,15511.7,15985.2,126.6,1157.9,12600.7
opencast,8069.0,8892.0,118.4,1035.4,7379.7
underground,8503.2,8526.1,126.1,782.5,7393.1
opencast,6074.9,6393.2,126.3,1321.1,5580.6
opencast,6220.2,6593.2,64.2,1545.7,5989.6
opencast,17261.7,19233.5,107.3,1224.1,15609.9
opencast,14985.1,16675.0,64.7,1613.3,14659.5
opencast,10604.3,11565.2,32.8,719.7,11565.2
underground,17241.8,17780.6,170.4,1597.2,14627.5
opencast,17494.2,18261.8,113.2,935.7,13540.6
underground,15999.0,17804.1,120.5,1243.6,15203.5
underground,10851.9,11629.9,102.7,1775.5,9535.8
underground,9577.9,10501.6,137.1,1642.6,9109.6
opencast,11209.8,11419.5,117.2,1713.0,9331.8
opencast,13299.1,13713.7,40.7,1246.7,13025.0
opencast,8005.9,8699.8,50.4,1350.8,6962.4
underground,16355.8,18288.4,149.6,1143.5,16656.0
opencast,8019.2,8086.8,105.9,1301.1,7065.9
opencast,14010.0,14198.5,99.3,1778.0,11652.1
underground,17326.0,19321.5,197.8,1237.6,16778.5
opencast,7810.7,8310.2,85.6,1724.3,7441.3
opencast,11792.1,12638.5,104.8,1297.6,11440.8
opencast,11242.2,11606.9,61.3,746.7,11045.6
opencast,6915.3,7003.6,112.7,819.6,6041.8
underground,12850.9,13656.0,207.5,1760.9,8193.6
opencast,10376.8,11106.7,33.5,1280.6,10750.5
opencast,15244.1,16116.9,135.7,866.9,13828.5
underground,13109.6,13811.0,170.8,797.5,11457.9
underground,8155.4,8860.4,85.6,1774.8,7200.6
opencast,8791.9,9136.2,79.5,953.1,7783.8
opencast,16872.9,18335.2,39.2,990.9,16538.3
opencast,9712.2,10174.0,76.9,1562.1,8120.3
opencast,6089.8,6811.6,37.6,1135.2,6420.3
underground,12299.7,13300.0,120.3,1721.3,11084.1
underground,6793.7,7264.9,115.1,1768.3,5677.5
