state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Karnataka,16.632,77.7671,245.3,13.6,2.73,0.634,0.291,34.1,0.695,316.0,13.8,6.29,521.28,archean,0.408
Maharashtra,19.4183,80.0613,567.0,33.4,0.32,0.309,0.061,26.7,0.676,940.7,39.2,5.69,199.45,gondite_archean,0.468
Karnataka,18.064,77.81,657.8,25.3,1.49,0.703,0.117,33.7,0.469,795.3,15.4,3.39,368.4,archean,0.46
Karnataka,18.3604,77.9261,660.9,25.7,1.77,0.718,-0.002,28.1,0.575,553.1,11.0,0.2,333.24,archean,0.505
Andhra Pradesh,17.5171,83.9074,876.2,15.9,0.86,0.573,0.19,30.7,0.688,518.0,10.9,12.88,603.66,kodurite_archean,0.325
Madhya Pradesh,22.3879,75.0537,792.2,6.3,1.07,0.324,0.223,32.8,0.482,934.4,66.2,14.31,438.93,gondite_archean,0.628
Goa,15.0097,74.137,141.5,19.7,1.01,0.334,-0.088,31.9,0.586,246.3,-7.5,12.25,860.18,laterite,0.174
Odisha,20.7983,85.8991,366.0,2.9,1.25,0.717,0.085,32.7,0.418,884.2,76.4,0.86,602.83,gondite_archean,0.536
Odisha,20.329,85.0121,884.3,3.3,1.65,0.258,0.282,23.8,0.742,657.3,22.3,3.4,527.37,gondite_archean,0.581
Karnataka,13.7178,75.3213,486.4,10.1,1.0,0.544,0.281,31.7,0.51,697.1,33.7,7.82,917.89,archean,0.371
Madhya Pradesh,21.9359,74.1209,872.0,9.5,2.09,0.574,0.066,27.0,0.639,472.7,33.0,7.09,521.29,gondite_archean,0.502
Maharashtra,20.7003,79.3163,112.3,20.8,0.91,0.42,0.275,28.4,0.514,864.1,16.8,11.04,55.25,gondite_archean,0.505
Goa,15.3472,73.9294,447.5,25.6,0.23,0.504,0.068,32.2,0.537,225.4,18.6,0.11,844.38,laterite,0.26
Odisha,20.1432,84.4478,298.0,3.1,1.49,0.59,0.064,32.8,0.609,870.5,3.4,7.67,479.86,gondite_archean,0.505
Maharashtra,20.8448,79.5429,154.8,13.6,2.78,0.501,0.023,26.3,0.657,726.1,66.1,4.85,37.83,gondite_archean,0.63
Madhya Pradesh,21.8693,79.6437,442.1,16.0,2.02,0.712,-0.262,35.2,0.503,425.3,21.1,5.4,55.89,gondite_archean,0.508
Goa,15.0843,74.1822,427.7,23.3,0.93,0.246,-0.204,23.1,0.505,212.2,13.0,9.24,850.63,laterite,0.188
Odisha,20.3676,84.5843,300.0,18.5,1.7,0.364,-0.088,35.3,0.48,981.1,9.8,5.64,483.89,gondite_archean,0.393
Goa,15.7011,73.8513,414.2,19.8,1.61,0.266,0.215,32.8,0.461,452.9,-0.1,7.54,819.88,laterite,0.283
Odisha,21.5209,84.1274,655.2,8.8,0.53,0.249,-0.299,33.5,0.573,1128.9,31.4,3.5,409.1,gondite_archean,0.54
Odisha,20.1671,85.3173,586.2,9.3,0.36,0.385,-0.159,25.5,0.574,869.0,-13.9,4.48,563.37,gondite_archean,0.553
Madhya Pradesh,23.4375,79.6172,237.4,18.0,1.35,0.672,0.079,30.5,0.59,596.6,30.0,1.23,191.03,gondite_archean,0.466
Maharashtra,19.5156,79.2837,816.5,7.9,1.62,0.402,-0.289,34.7,0.555,627.0,89.1,9.33,182.85,gondite_archean,0.592
Odisha,19.5299,86.0321,528.5,29.4,2.5,0.656,-0.009,27.3,0.531,1066.0,46.7,17.13,659.02,gondite_archean,0.523
Karnataka,12.492,76.0513,742.8,31.7,0.77,0.19,0.226,28.2,0.58,668.9,33.6,0.62,1015.47,archean,0.365
Karnataka,17.2248,76.2339,897.7,20.0,1.1,0.282,-0.09,28.0,0.498,536.5,72.8,8.55,529.54,archean,0.397
Maharashtra,19.0209,78.9353,629.3,17.5,0.21,0.633,0.164,30.8,0.728,862.9,57.2,5.84,237.29,gondite_archean,0.608
Odisha,21.5135,85.6717,693.8,6.8,0.75,0.684,0.15,36.5,0.625,1068.3,58.0,6.92,568.4,gondite_archean,0.598
Madhya Pradesh,21.5477,77.7914,673.1,10.2,0.77,0.338,-0.155,25.4,0.662,748.7,4.1,0.64,141.57,gondite_archean,0.487
Maharashtra,19.957,80.1437,627.6,28.1,0.96,0.565,-0.142,37.0,0.389,1001.0,18.0,9.49,144.34,gondite_archean,0.466
Odisha,21.2859,84.4262,629.6,28.7,2.38,0.607,-0.187,23.4,0.446,1066.9,26.9,2.4,442.86,gondite_archean,0.521
Odisha,22.1376,84.3519,545.9,2.3,2.07,0.344,0.239,36.2,0.64,721.5,26.7,6.88,431.83,gondite_archean,0.521
Odisha,19.7848,86.9961,361.3,26.4,2.46,0.665,0.299,25.9,0.548,679.2,68.8,6.68,743.05,gondite_archean,0.505
Karnataka,16.2532,75.4281,111.5,27.0,1.95,0.607,-0.277,35.4,0.649,1064.0,53.0,7.07,667.16,archean,0.519
Madhya Pradesh,24.4674,80.0538,453.8,25.1,1.29,0.287,0.058,36.9,0.535,892.1,1.6,43.47,296.88,gondite_archean,0.424
Jharkhand,23.299,86.6088,672.1,21.2,0.35,0.423,0.105,32.8,0.587,627.9,28.8,9.39,680.84,archean,0.326
Maharashtra,20.6216,79.0506,225.0,22.6,1.88,0.258,0.123,29.3,0.674,874.7,51.5,9.62,58.9,gondite_archean,0.632
Andhra Pradesh,18.7042,84.4218,528.7,17.6,1.33,0.242,0.044,26.4,0.488,663.1,-26.7,0.43,560.57,kodurite_archean,0.338
Odisha,20.77,83.796,585.5,31.0,2.67,0.545,-0.173,35.8,0.54,822.4,16.0,12.98,391.75,gondite_archean,0.542
Jharkhand,22.0601,86.7947,598.1,34.1,1.5,0.658,-0.263,27.4,0.561,721.7,12.1,1.89,682.86,archean,0.414
Odisha,20.9073,84.44,180.8,6.7,0.61,0.734,0.156,37.5,0.356,687.4,23.1,2.85,452.18,gondite_archean,0.548
Odisha,19.889,84.3976,384.3,23.9,0.38,0.276,0.185,24.4,0.666,704.0,-9.6,6.63,487.04,gondite_archean,0.441
Andhra Pradesh,17.7057,83.6614,504.4,5.9,1.95,0.314,-0.007,23.3,0.244,431.2,-12.8,10.33,570.29,kodurite_archean,0.074
Madhya Pradesh,23.3352,80.2164,789.8,11.7,1.71,0.654,0.294,36.2,0.418,680.1,81.0,5.43,170.75,gondite_archean,0.543
Karnataka,17.4485,75.9456,787.8,14.8,1.12,0.422,0.157,24.0,0.551,409.0,20.0,8.28,527.49,archean,0.53
Odisha,21.158,84.8026,629.3,5.8,1.8,0.261,-0.133,25.5,0.613,693.9,47.9,28.03,483.59,gondite_archean,0.451
Madhya Pradesh,21.5005,76.9964,738.2,13.5,0.44,0.484,0.207,34.7,0.622,584.4,21.3,16.58,220.33,gondite_archean,0.427
Odisha,20.2897,83.5023,796.5,27.9,1.96,0.6,-0.209,29.3,0.474,727.7,59.1,0.33,383.49,gondite_archean,0.527
Odisha,20.1226,84.3335,826.7,16.9,1.51,0.606,-0.207,29.8,0.793,499.8,67.7,1.5,469.86,gondite_archean,0.53
Odisha,20.1133,84.6914,508.5,21.9,2.75,0.456,0.001,22.8,0.567,677.6,68.4,1.4,504.58,gondite_archean,0.515
Odisha,20.8471,84.3312,139.7,25.6,0.51,0.515,-0.131,24.8,0.707,682.6,74.1,1.07,442.83,gondite_archean,0.521
Maharashtra,19.5923,79.8548,552.6,32.6,1.28,0.19,-0.289,35.2,0.744,807.6,20.8,0.24,176.72,gondite_archean,0.426
Jharkhand,23.3357,86.8664,312.4,21.8,2.1,0.341,0.209,37.2,0.56,766.7,4.7,26.45,707.39,archean,0.301
Odisha,21.6481,85.9719,598.2,34.7,1.07,0.354,-0.253,29.1,0.462,529.7,26.7,21.12,598.49,gondite_archean,0.355
Odisha,19.7771,84.0698,576.2,6.1,2.91,0.418,0.001,25.9,0.809,705.5,59.0,6.9,462.68,gondite_archean,0.589
Goa,15.6539,74.1785,144.5,1.2,0.79,0.548,-0.053,28.4,0.408,538.8,-18.0,1.69,801.08,laterite,0.281
Odisha,20.5263,85.0049,764.8,5.1,2.26,0.469,-0.127,29.9,0.654,455.0,8.2,0.99,519.94,gondite_archean,0.444
Madhya Pradesh,24.1584,76.7517,686.4,23.4,2.81,0.643,0.04,32.5,0.534,951.9,50.1,0.88,411.66,gondite_archean,0.583
Madhya Pradesh,22.6239,74.9497,884.5,8.3,0.39,0.507,0.143,22.5,0.611,1196.2,-5.2,22.29,457.53,gondite_archean,0.531
Andhra Pradesh,18.9754,83.0193,875.8,15.7,1.17,0.18,-0.268,33.1,0.288,463.2,-18.6,6.9,428.2,kodurite_archean,0.252
Karnataka,17.3531,77.7828,481.9,12.9,1.22,0.633,-0.103,25.3,0.512,489.7,59.6,2.0,443.93,archean,0.437
Karnataka,17.2546,77.7945,407.7,16.6,1.05,0.71,-0.229,36.9,0.56,1051.4,28.1,4.19,453.99,archean,0.446
Odisha,21.4692,86.899,549.8,25.3,0.39,0.401,-0.23,31.8,0.582,877.5,33.0,6.4,695.41,gondite_archean,0.465
Karnataka,17.4187,77.7587,589.5,13.7,0.91,0.214,-0.087,28.6,0.659,917.3,24.7,1.6,437.79,archean,0.384
Odisha,21.9819,83.6467,435.3,6.7,2.66,0.484,-0.161,30.0,0.602,728.8,72.7,4.13,358.25,gondite_archean,0.628
Maharashtra,20.3282,79.8549,442.8,25.9,2.51,0.238,0.2,30.6,0.532,1012.9,56.7,2.31,95.99,gondite_archean,0.534
Andhra Pradesh,18.226,83.5282,346.8,20.5,1.11,0.174,-0.137,22.1,0.651,371.6,49.5,13.1,521.48,kodurite_archean,0.218
Goa,15.3202,74.1916,312.7,34.7,0.27,0.512,0.096,33.0,0.493,189.6,-8.3,6.33,829.17,laterite,0.13
Karnataka,13.0415,75.1837,434.5,26.7,2.71,0.2,-0.064,23.6,0.384,728.9,19.5,16.22,992.43,archean,0.318
Goa,15.3357,73.8253,131.5,20.5,1.3,0.167,0.05,22.2,0.359,620.9,12.0,4.06,852.49,laterite,0.169
Jharkhand,23.0884,85.5505,667.6,10.2,2.73,0.375,0.03,22.8,0.665,606.2,14.0,2.05,570.18,archean,0.439
Andhra Pradesh,18.8956,82.6907,460.0,12.5,2.64,0.2,-0.173,34.0,0.469,378.5,-31.5,4.01,406.01,kodurite_archean,0.192
Madhya Pradesh,21.5648,78.576,744.3,26.8,0.63,0.24,-0.139,27.8,0.764,607.0,77.6,1.72,70.43,gondite_archean,0.513
Madhya Pradesh,21.9094,81.0887,816.6,11.1,0.84,0.397,-0.156,32.8,0.622,974.6,29.0,1.36,94.57,gondite_archean,0.615
Maharashtra,19.9012,79.8425,316.5,3.8,2.98,0.244,0.293,37.6,0.633,1003.1,64.7,2.73,142.5,gondite_archean,0.569
Karnataka,16.026,76.1448,442.0,12.2,1.78,0.66,-0.179,37.0,0.631,768.6,65.5,0.13,648.76,archean,0.512
Andhra Pradesh,17.5602,84.2798,893.6,11.0,0.79,0.609,-0.148,35.8,0.416,688.9,39.3,7.39,629.99,kodurite_archean,0.434
Maharashtra,20.4384,79.3581,320.7,27.1,0.83,0.565,-0.16,32.0,0.463,922.0,65.2,0.37,83.89,gondite_archean,0.597
Maharashtra,19.8533,79.4571,843.1,12.3,1.5,0.158,-0.251,26.1,0.569,725.5,74.5,1.54,147.78,gondite_archean,0.389
Odisha,21.4915,86.8786,140.3,31.3,1.82,0.488,0.0,23.1,0.584,620.4,54.1,4.17,693.12,gondite_archean,0.495
Odisha,21.6442,84.5267,520.4,24.7,2.72,0.625,0.106,32.9,0.546,830.5,54.7,8.03,449.33,gondite_archean,0.468
Madhya Pradesh,21.0569,79.8302,358.8,23.6,1.76,0.356,-0.219,23.5,0.469,837.4,76.8,12.11,22.53,gondite_archean,0.538
Odisha,19.5001,85.9925,385.3,9.7,0.24,0.474,0.211,37.3,0.633,1333.2,40.9,3.82,656.56,gondite_archean,0.522
Madhya Pradesh,22.3605,75.9224,176.0,11.7,0.47,0.256,0.292,29.1,0.688,798.2,24.4,2.92,353.73,gondite_archean,0.551
Karnataka,16.3713,77.2288,352.2,5.5,1.97,0.227,0.047,33.1,0.644,823.9,28.8,10.48,566.32,archean,0.473
Madhya Pradesh,21.6532,74.2055,327.6,16.1,1.93,0.66,-0.182,24.0,0.867,651.6,17.1,0.47,508.74,gondite_archean,0.537
Odisha,21.2568,85.4052,287.0,22.7,2.5,0.175,-0.001,33.0,0.459,564.1,59.3,13.28,543.82,gondite_archean,0.466
Madhya Pradesh,23.5558,76.9186,612.8,16.9,0.73,0.571,0.034,27.7,0.515,748.9,57.6,3.22,348.45,gondite_archean,0.589
Maharashtra,19.9898,80.0125,463.3,15.0,2.82,0.301,-0.228,31.4,0.549,847.7,33.9,5.64,136.55,gondite_archean,0.472
Odisha,21.4743,86.9921,461.4,13.1,1.32,0.219,0.23,28.6,0.75,556.4,88.2,0.51,704.97,gondite_archean,0.488
Andhra Pradesh,18.9108,83.7975,863.7,6.1,1.54,0.511,0.049,28.4,0.37,437.7,-11.1,10.61,495.37,kodurite_archean,0.227
Odisha,19.6757,85.4333,576.2,30.6,1.82,0.357,0.182,30.6,0.575,621.7,33.3,2.81,595.11,gondite_archean,0.525
Odisha,19.9543,85.0147,576.5,3.7,2.83,0.603,0.052,35.3,0.554,613.7,65.8,12.24,542.56,gondite_archean,0.545
Odisha,22.3226,83.9352,800.1,34.0,0.7,0.583,-0.276,28.5,0.876,886.3,43.1,5.25,391.32,gondite_archean,0.598
Andhra Pradesh,18.9258,82.5441,886.0,3.9,2.48,0.318,-0.221,29.0,0.318,815.9,20.1,18.62,391.98,kodurite_archean,0.236
Karnataka,13.4062,76.2703,138.7,28.9,2.51,0.503,-0.088,34.8,0.672,702.6,59.8,7.3,911.54,archean,0.496
Karnataka,18.2266,76.6645,584.1,8.5,1.95,0.493,-0.189,23.0,0.688,770.8,-9.8,8.79,412.47,archean,0.416
Odisha,20.8255,84.0718,247.6,7.9,1.28,0.181,-0.061,30.2,0.275,712.3,33.5,5.64,417.44,gondite_archean,0.44
Odisha,19.7135,85.5085,552.8,30.9,1.76,0.726,-0.271,23.6,0.812,899.3,26.2,0.64,600.6,gondite_archean,0.615
Odisha,19.8808,83.9315,514.8,9.4,1.2,0.744,0.111,37.2,0.52,577.5,18.7,0.03,444.41,gondite_archean,0.5
Maharashtra,20.6045,79.3216,491.7,15.1,0.27,0.351,-0.194,23.6,0.573,881.5,15.5,4.0,65.25,gondite_archean,0.586
Odisha,19.7909,84.1266,738.0,24.0,1.73,0.435,0.253,23.2,0.452,517.6,51.0,14.21,467.1,gondite_archean,0.442
Odisha,20.698,84.9339,882.6,7.2,2.44,0.351,0.139,28.7,0.704,836.6,46.9,0.49,507.65,gondite_archean,0.547
Maharashtra,19.35,79.3316,538.9,14.7,1.65,0.748,-0.219,32.8,0.44,723.3,72.6,5.29,201.74,gondite_archean,0.482
Karnataka,14.3258,76.8751,560.5,6.5,1.52,0.482,0.042,25.4,0.665,535.2,-11.7,9.5,794.2,archean,0.406
Madhya Pradesh,23.7869,79.8802,588.1,17.6,0.57,0.307,-0.049,31.6,0.338,803.9,38.4,2.69,223.05,gondite_archean,0.458
Maharashtra,19.0599,79.6697,853.2,6.9,1.52,0.205,0.075,30.8,0.63,277.8,37.4,0.18,234.65,gondite_archean,0.448
Andhra Pradesh,18.3657,84.2813,577.6,28.5,1.4,0.6,0.248,31.2,0.401,352.0,1.1,2.93,573.76,kodurite_archean,0.218
Madhya Pradesh,23.058,77.412,592.3,3.8,0.45,0.253,0.011,25.4,0.474,467.4,71.8,12.82,273.66,gondite_archean,0.538
Goa,15.0161,73.8769,808.9,16.6,1.78,0.548,0.107,36.9,0.518,347.2,2.7,1.99,876.61,laterite,0.249
Odisha,22.0773,85.2502,639.9,9.1,2.32,0.606,-0.112,28.6,0.627,817.5,63.5,11.61,523.84,gondite_archean,0.505
Maharashtra,21.4141,79.2871,204.6,23.8,2.24,0.495,-0.176,30.1,0.478,424.1,70.7,2.11,35.77,gondite_archean,0.594
Karnataka,13.7496,75.2945,726.7,31.9,1.24,0.601,0.238,35.5,0.339,428.6,28.2,0.92,915.94,archean,0.337
Odisha,20.4508,86.3309,800.4,11.3,2.6,0.664,0.159,24.3,0.6,808.4,10.0,5.55,655.32,gondite_archean,0.576
Madhya Pradesh,22.787,74.9596,349.7,28.3,2.61,0.232,0.271,27.3,0.704,935.1,58.8,1.13,463.16,gondite_archean,0.513
Maharashtra,20.8549,79.8554,301.9,30.7,0.67,0.182,0.13,29.6,0.518,990.0,46.9,6.37,41.01,gondite_archean,0.526
Odisha,21.6612,85.2889,583.5,16.7,2.52,0.648,0.126,23.7,0.617,967.5,13.9,16.91,527.91,gondite_archean,0.593
Maharashtra,19.2815,79.3156,809.1,2.6,2.89,0.557,0.079,26.3,0.68,634.1,12.8,0.09,209.1,gondite_archean,0.481
Madhya Pradesh,24.4152,76.9531,385.8,12.7,1.66,0.414,0.228,30.1,0.423,784.9,43.8,7.24,424.03,gondite_archean,0.452
Karnataka,14.7442,77.6403,256.6,28.9,2.02,0.401,-0.025,26.1,0.53,990.2,51.2,43.66,728.59,archean,0.314
Karnataka,17.9845,75.8801,143.8,7.9,1.37,0.282,-0.3,36.6,0.577,795.9,32.5,21.14,486.79,archean,0.376
Karnataka,12.7744,76.5496,379.1,13.7,1.94,0.581,-0.234,22.6,0.507,569.2,14.5,4.7,969.64,archean,0.46
Maharashtra,20.2722,80.2229,792.8,1.3,2.38,0.426,0.293,29.7,0.59,454.9,45.6,3.39,116.26,gondite_archean,0.465
Odisha,20.7104,84.3216,755.1,12.5,2.52,0.15,-0.115,25.9,0.588,514.8,21.9,3.78,445.95,gondite_archean,0.335
Andhra Pradesh,18.8579,83.4859,364.1,4.6,2.87,0.186,-0.121,26.8,0.36,411.5,7.2,8.06,475.19,kodurite_archean,0.24
Odisha,19.7116,86.683,252.1,28.9,1.72,0.197,0.273,26.0,0.536,824.1,77.6,21.84,714.84,gondite_archean,0.501
Goa,15.6557,74.2441,259.4,10.7,1.01,0.376,-0.064,30.7,0.499,246.4,-3.2,5.6,796.48,laterite,0.131
Maharashtra,20.8487,79.7911,224.6,19.6,0.44,0.376,-0.052,22.6,0.544,862.4,52.3,1.22,38.61,gondite_archean,0.561
Maharashtra,19.2717,80.4625,405.3,27.4,1.16,0.527,-0.185,24.3,0.593,952.4,7.2,8.08,227.47,gondite_archean,0.434
Karnataka,12.9653,76.8859,751.5,14.0,0.57,0.268,-0.158,26.8,0.662,994.8,4.2,13.9,939.71,archean,0.487
Odisha,20.9071,86.3033,244.1,4.7,2.67,0.356,0.11,22.4,0.427,1009.4,42.0,2.2,641.81,gondite_archean,0.472
Karnataka,12.5238,75.0887,338.4,4.1,2.75,0.154,-0.01,24.0,0.577,617.3,45.4,6.33,1049.27,archean,0.345
Goa,15.4432,74.0673,256.4,6.7,2.77,0.347,-0.077,34.2,0.486,392.8,25.1,17.02,826.76,laterite,0.297
Odisha,20.2712,85.1276,281.6,26.3,2.77,0.404,-0.095,37.4,0.491,200.0,55.9,6.73,540.86,gondite_archean,0.432
Maharashtra,21.0295,79.1837,447.0,29.8,1.22,0.626,0.265,32.0,0.654,904.3,30.1,0.42,16.55,gondite_archean,0.672
Karnataka,16.3794,76.3014,699.2,13.1,1.98,0.262,0.15,30.7,0.441,473.9,25.9,1.95,606.24,archean,0.46
Jharkhand,23.4303,86.9143,441.7,17.2,2.71,0.465,0.124,26.0,0.396,630.7,47.6,14.62,714.52,archean,0.325
Madhya Pradesh,21.536,79.8249,580.2,25.9,2.36,0.735,0.044,27.5,0.491,819.3,63.6,7.28,44.55,gondite_archean,0.562
Karnataka,15.0773,77.9182,372.0,30.6,0.45,0.616,0.209,24.9,0.375,609.7,36.7,8.07,686.5,archean,0.514
Odisha,20.1352,83.6452,357.7,20.0,2.6,0.55,-0.039,37.2,0.6,814.0,-3.8,0.43,404.61,gondite_archean,0.5
Maharashtra,19.3033,79.1056,526.0,20.2,1.88,0.25,-0.072,31.9,0.569,804.8,6.5,8.79,205.35,gondite_archean,0.478
Madhya Pradesh,23.1086,77.9183,522.9,12.4,1.65,0.269,0.183,25.0,0.545,614.8,19.4,2.59,248.99,gondite_archean,0.569
Madhya Pradesh,22.2145,81.4629,838.1,18.1,1.12,0.592,-0.278,29.6,0.632,733.5,39.1,10.8,140.06,gondite_archean,0.512
Karnataka,12.5551,78.3898,514.4,21.9,0.86,0.44,-0.043,23.2,0.434,538.0,68.2,0.51,958.6,archean,0.429
Madhya Pradesh,21.4172,74.2917,142.2,29.4,0.53,0.177,-0.037,35.5,0.497,463.8,36.9,6.89,498.02,gondite_archean,0.399
Madhya Pradesh,22.1635,76.5243,185.3,13.5,0.48,0.61,0.28,37.5,0.594,983.2,11.8,7.97,288.11,gondite_archean,0.574
Karnataka,15.1331,77.5311,325.5,11.8,2.79,0.184,-0.009,36.6,0.631,1100.8,9.5,15.29,689.0,archean,0.331
Madhya Pradesh,22.8016,74.7966,112.8,33.8,1.26,0.512,-0.252,32.9,0.575,922.0,43.9,11.63,479.26,gondite_archean,0.461
Karnataka,17.7189,77.0947,819.4,22.2,0.57,0.336,-0.179,36.5,0.612,885.5,5.9,11.3,435.1,archean,0.363
Karnataka,13.4676,76.9665,132.3,12.1,1.51,0.239,0.291,25.3,0.485,587.7,18.6,6.67,883.43,archean,0.449
Odisha,19.6033,85.0604,753.3,31.1,0.44,0.473,0.248,28.2,0.538,812.4,42.6,3.61,563.29,gondite_archean,0.536
Goa,15.2205,73.9661,660.6,27.0,2.8,0.273,0.179,33.8,0.421,295.0,-14.9,32.57,852.85,laterite,0.071
Madhya Pradesh,23.5119,81.8129,401.8,28.3,1.42,0.672,-0.192,37.2,0.479,561.1,23.7,7.5,253.59,gondite_archean,0.564
Karnataka,16.8254,75.4133,146.8,11.2,1.53,0.251,-0.087,28.4,0.534,532.9,70.9,4.35,616.91,archean,0.478
Maharashtra,20.0268,79.5093,105.9,24.5,2.05,0.173,-0.079,37.7,0.568,237.4,44.8,6.98,127.96,gondite_archean,0.47
Maharashtra,21.1609,79.4138,480.1,14.1,2.91,0.568,-0.25,35.8,0.468,773.1,-16.6,16.81,24.52,gondite_archean,0.587
Odisha,21.9794,85.4519,143.7,34.0,1.64,0.325,-0.018,35.7,0.446,659.2,28.6,12.11,544.28,gondite_archean,0.402
Karnataka,13.4786,75.1647,366.2,33.0,1.16,0.743,-0.009,24.9,0.508,855.1,4.5,1.63,949.17,archean,0.492
Odisha,19.5655,86.2107,207.5,16.9,1.9,0.407,-0.284,34.5,0.541,967.3,-4.3,3.94,674.69,gondite_archean,0.636
Goa,15.7151,73.9679,592.1,32.5,2.89,0.455,-0.028,26.5,0.242,540.9,-7.3,53.76,810.47,laterite,0.054
Odisha,21.2356,83.789,223.6,15.9,1.63,0.305,-0.11,23.4,0.541,866.0,59.6,0.05,378.56,gondite_archean,0.531
Andhra Pradesh,18.9226,82.6827,229.2,33.7,1.71,0.159,-0.145,29.2,0.601,690.7,66.5,4.16,403.47,kodurite_archean,0.478
Odisha,22.4324,86.4866,498.7,21.5,0.84,0.476,0.117,30.2,0.714,658.0,28.5,3.41,653.41,gondite_archean,0.436
Karnataka,17.0816,76.4367,735.2,20.6,1.16,0.636,-0.157,25.6,0.314,666.5,-43.8,27.28,531.34,archean,0.379
Madhya Pradesh,24.022,75.1156,555.4,30.5,1.83,0.581,-0.077,23.5,0.289,599.6,28.9,27.23,518.09,gondite_archean,0.46
Jharkhand,22.4953,85.6961,816.4,33.9,1.44,0.343,0.016,33.0,0.633,480.0,-10.5,3.03,573.31,archean,0.291
Karnataka,14.0848,75.269,347.6,34.1,1.35,0.417,0.046,37.7,0.613,437.9,47.8,0.74,883.69,archean,0.508
Maharashtra,19.1602,79.6923,691.7,8.2,2.56,0.168,0.206,29.4,0.507,711.8,24.2,7.75,223.52,gondite_archean,0.381
Madhya Pradesh,21.4398,76.3178,291.0,8.3,1.35,0.572,-0.17,27.9,0.595,766.6,10.0,5.64,289.0,gondite_archean,0.437
Maharashtra,21.1458,80.1897,387.7,24.4,1.08,0.187,0.121,22.2,0.353,596.8,64.6,2.9,56.03,gondite_archean,0.547
Andhra Pradesh,17.9409,83.3927,681.6,24.6,2.96,0.285,0.097,31.8,0.521,821.4,11.8,3.25,531.65,kodurite_archean,0.197
Madhya Pradesh,24.1115,78.5544,605.4,18.6,0.34,0.29,-0.005,27.0,0.562,511.2,9.6,4.99,306.2,gondite_archean,0.382
Odisha,22.2832,86.537,666.1,4.6,2.37,0.635,0.161,23.8,0.684,869.1,84.9,4.91,657.35,gondite_archean,0.65
Madhya Pradesh,21.1203,79.1117,165.2,15.8,1.02,0.477,-0.22,33.1,0.5,867.7,40.4,5.04,3.99,gondite_archean,0.648
Odisha,21.4487,86.538,762.5,22.3,0.41,0.217,-0.27,26.1,0.511,656.6,52.8,7.54,658.33,gondite_archean,0.463
Andhra Pradesh,18.5655,82.725,688.7,10.4,1.99,0.355,0.299,26.2,0.509,477.1,35.9,29.33,432.73,kodurite_archean,0.297
Jharkhand,22.1306,86.6437,617.0,23.0,0.56,0.54,0.289,36.6,0.455,645.7,55.8,9.67,667.52,archean,0.4
Karnataka,12.3582,76.2076,475.2,32.6,2.0,0.337,0.015,23.1,0.512,706.0,-26.0,9.18,1024.53,archean,0.344
Maharashtra,20.7883,79.0363,352.5,5.3,2.04,0.174,0.059,35.9,0.545,973.5,18.3,8.89,40.6,gondite_archean,0.511
Andhra Pradesh,17.867,83.3426,771.1,30.8,0.88,0.48,-0.185,23.6,0.444,745.8,31.7,0.77,533.48,kodurite_archean,0.208
Maharashtra,20.4561,78.8732,250.6,7.3,0.36,0.503,0.204,22.3,0.571,661.3,24.9,3.44,80.38,gondite_archean,0.574
Madhya Pradesh,21.9597,74.2129,688.2,22.3,1.83,0.595,0.105,25.3,0.456,711.4,48.0,15.65,512.33,gondite_archean,0.446
Jharkhand,23.2567,85.3682,184.5,28.6,1.82,0.521,0.169,33.3,0.597,750.0,51.3,3.02,556.91,archean,0.374
Jharkhand,22.0668,86.1596,233.2,25.2,0.69,0.291,-0.003,36.6,0.465,585.3,28.9,19.42,617.45,archean,0.455
Odisha,21.4378,84.3151,225.4,24.2,1.86,0.603,-0.114,29.2,0.587,771.1,12.6,3.5,429.33,gondite_archean,0.434
Madhya Pradesh,21.8831,81.3223,312.5,31.5,0.49,0.544,0.244,24.7,0.554,877.8,42.2,2.87,118.26,gondite_archean,0.568
Odisha,20.4112,83.8256,215.1,4.6,1.38,0.627,-0.215,24.1,0.423,888.3,72.1,6.16,408.47,gondite_archean,0.471
Maharashtra,20.7067,79.7575,312.9,2.3,1.48,0.685,0.042,35.3,0.691,1020.0,11.1,12.82,52.71,gondite_archean,0.618
Odisha,21.8421,86.6857,406.3,22.4,1.4,0.413,-0.114,34.2,0.576,757.1,16.2,0.56,671.53,gondite_archean,0.533
Odisha,22.2366,85.7161,676.8,9.7,2.21,0.167,-0.075,32.0,0.593,719.0,55.9,4.16,572.72,gondite_archean,0.418
Madhya Pradesh,21.3761,74.1353,827.7,10.2,2.5,0.75,-0.173,26.2,0.587,795.6,38.5,12.68,514.03,gondite_archean,0.579
Odisha,22.4323,86.8752,231.0,11.2,0.48,0.313,0.19,28.1,0.53,647.4,39.1,4.31,693.21,gondite_archean,0.48
Odisha,22.4585,86.373,325.2,3.4,0.36,0.222,0.048,36.9,0.707,777.7,82.8,10.53,642.04,gondite_archean,0.507
Odisha,20.5836,85.7306,156.6,13.3,1.7,0.748,-0.015,35.1,0.725,717.0,61.6,4.23,591.09,gondite_archean,0.584
