state,lat,lng,elevation,ndvi,land_surface_temp,soil_moisture,rainfall,geology_type,prospectivity_score
Odisha,19.9224,85.6784,725.1,0.497,24.4,0.293,1399.6,gondite_archean,0.674
Karnataka,16.3818,75.5396,376.2,0.7,26.6,0.191,1679.2,archean,0.596
Odisha,19.5235,85.7082,458.1,0.231,37.3,0.209,966.1,gondite_archean,0.654
Karnataka,16.4175,74.805,319.8,0.634,29.4,0.214,1176.1,archean,0.494
Odisha,22.0309,86.9342,734.5,0.662,25.9,0.338,916.6,gondite_archean,0.723
Jharkhand,23.9896,86.4234,884.9,0.492,26.2,0.181,1352.9,archean,0.58
Jharkhand,22.3802,86.5852,826.3,0.716,37.4,0.206,1775.0,archean,0.579
Maharashtra,19.4042,79.4538,674.7,0.298,32.2,0.25,879.0,gondite_archean,0.763
Karnataka,12.0787,74.5362,385.6,0.706,25.7,0.24,944.3,archean,0.629
Karnataka,17.5123,77.4154,176.3,0.407,22.5,0.194,1428.7,archean,0.528
Karnataka,17.977,78.473,135.9,0.607,27.9,0.168,1529.7,archean,0.548
Goa,15.7607,74.0886,385.7,0.623,26.0,0.219,1094.4,laterite,0.23
Odisha,22.2547,83.8563,504.8,0.283,22.6,0.061,892.7,gondite_archean,0.689
Andhra Pradesh,17.9237,84.4009,565.3,0.412,31.3,0.205,1534.7,kodurite_archean,0.323
Goa,15.7572,74.2463,435.6,0.618,29.6,0.199,925.1,laterite,0.214
Madhya Pradesh,21.6515,76.6525,784.0,0.274,23.1,0.071,1734.9,gondite_archean,0.478
Andhra Pradesh,18.7537,83.1644,654.9,0.613,32.5,0.095,1663.5,kodurite_archean,0.433
Madhya Pradesh,21.9887,77.4018,130.1,0.227,34.2,0.05,1158.2,gondite_archean,0.585
Jharkhand,22.4523,85.6084,343.2,0.288,22.0,0.269,1763.5,archean,0.548
Odisha,21.4891,86.0966,778.7,0.404,26.8,0.148,1483.9,gondite_archean,0.654
Karnataka,17.8626,77.7268,887.9,0.603,28.3,0.227,1427.1,archean,0.628
Odisha,21.1335,85.9826,233.9,0.618,31.3,0.336,746.7,gondite_archean,0.774
Odisha,21.6433,86.1565,182.0,0.458,30.1,0.161,1726.2,gondite_archean,0.6
Andhra Pradesh,18.5458,83.9287,469.4,0.703,33.1,0.269,1647.9,kodurite_archean,0.513
Odisha,20.536,84.6746,882.8,0.664,33.2,0.268,1318.3,gondite_archean,0.703
Goa,15.397,73.9903,230.4,0.622,33.8,0.165,727.7,laterite,0.192
Maharashtra,21.0428,79.5929,873.6,0.181,30.1,0.266,1648.9,gondite_archean,0.634
Odisha,21.9,85.4345,417.2,0.229,35.8,0.097,1040.8,gondite_archean,0.683
Maharashtra,20.9917,79.0009,599.9,0.493,35.3,0.322,713.4,gondite_archean,0.673
Maharashtra,19.1296,79.5977,330.1,0.334,27.6,0.236,1067.5,gondite_archean,0.626
Odisha,21.8513,84.5002,446.2,0.561,27.3,0.067,1111.3,gondite_archean,0.807
Goa,15.5134,74.1357,605.8,0.269,28.7,0.275,811.5,laterite,0.174
Karnataka,18.3724,74.77,515.0,0.258,37.5,0.084,1144.0,archean,0.437
Maharashtra,20.7614,79.3455,377.2,0.389,26.2,0.112,1231.3,gondite_archean,0.609
Madhya Pradesh,24.3899,78.8291,161.6,0.195,37.2,0.139,801.3,gondite_archean,0.555
Madhya Pradesh,23.1828,79.188,313.9,0.159,37.4,0.125,1443.6,gondite_archean,0.692
Karnataka,13.7621,76.8907,792.9,0.718,23.7,0.096,1739.2,archean,0.722
Maharashtra,21.2075,78.9053,570.1,0.571,32.9,0.172,716.9,gondite_archean,0.594
Karnataka,18.2243,76.0961,771.8,0.263,32.8,0.343,812.1,archean,0.558
Odisha,20.8007,83.8242,698.7,0.699,28.9,0.128,1177.8,gondite_archean,0.858
Madhya Pradesh,21.8471,79.7124,173.1,0.27,36.0,0.272,715.1,gondite_archean,0.748
Odisha,20.1432,84.4478,298.0,0.188,29.3,0.27,1367.4,gondite_archean,0.612
Jharkhand,23.677,86.6102,758.4,0.71,30.7,0.11,1378.5,archean,0.62
Maharashtra,20.8448,79.5429,154.8,0.373,36.7,0.225,1292.2,gondite_archean,0.628
Goa,15.5332,74.1937,463.5,0.528,26.0,0.262,1170.4,laterite,0.205
Karnataka,16.2206,78.2451,151.2,0.645,26.7,0.183,724.1,archean,0.582
Odisha,20.9733,86.7449,184.3,0.609,28.6,0.247,986.3,gondite_archean,0.589
Odisha,19.9814,83.7467,248.5,0.549,36.1,0.294,1453.6,gondite_archean,0.706
Karnataka,13.6247,76.56,528.4,0.364,27.7,0.299,1568.2,archean,0.516
Karnataka,17.9396,78.3113,361.4,0.363,30.1,0.332,1664.0,archean,0.548
Madhya Pradesh,22.761,75.5509,787.1,0.556,35.4,0.308,1523.2,gondite_archean,0.675
Karnataka,15.9686,75.1415,638.9,0.258,33.1,0.119,829.3,archean,0.567
Karnataka,13.0489,74.8342,115.3,0.249,36.3,0.122,1089.7,archean,0.569
Odisha,20.1671,85.3173,586.2,0.297,22.9,0.167,957.6,gondite_archean,0.724
Karnataka,14.7881,76.6636,657.1,0.571,24.7,0.2,1153.2,archean,0.725
Andhra Pradesh,18.4471,83.565,192.3,0.513,23.9,0.151,857.1,kodurite_archean,0.313
Karnataka,17.8219,75.3173,506.2,0.402,22.3,0.288,776.0,archean,0.589
Karnataka,15.6444,77.0137,650.9,0.302,22.2,0.267,1289.2,archean,0.561
Andhra Pradesh,18.2276,83.1673,733.2,0.421,24.9,0.306,1670.8,kodurite_archean,0.429
Karnataka,12.492,76.0513,742.8,0.691,25.3,0.07,1665.1,archean,0.663
Jharkhand,22.1331,86.2966,159.3,0.375,34.9,0.18,1796.9,archean,0.398
Madhya Pradesh,22.1241,75.7609,380.4,0.374,23.1,0.161,1210.7,gondite_archean,0.737
Maharashtra,19.0209,78.9353,629.3,0.44,22.1,0.291,1550.1,gondite_archean,0.8
Madhya Pradesh,21.2326,80.1321,567.0,0.619,34.0,0.291,1269.8,gondite_archean,0.767
Madhya Pradesh,23.5979,75.359,256.0,0.684,34.0,0.322,1534.6,gondite_archean,0.701
Madhya Pradesh,23.2895,81.113,563.0,0.529,24.5,0.192,1488.0,gondite_archean,0.657
Karnataka,13.5698,75.3597,439.9,0.695,30.1,0.106,784.7,archean,0.538
Maharashtra,19.957,80.1437,627.6,0.628,26.4,0.258,990.5,gondite_archean,0.741
Karnataka,13.7518,75.2637,655.7,0.281,31.5,0.129,1428.2,archean,0.56
Andhra Pradesh,18.667,84.0217,250.2,0.203,33.2,0.161,1175.6,kodurite_archean,0.354
Odisha,21.5005,84.6306,818.3,0.683,27.2,0.32,1795.8,gondite_archean,0.659
Andhra Pradesh,18.7673,82.998,561.4,0.19,23.5,0.35,1059.3,kodurite_archean,0.396
Andhra Pradesh,18.9964,82.983,132.3,0.397,24.1,0.057,1096.5,kodurite_archean,0.399
Maharashtra,20.4155,79.1256,623.5,0.289,22.2,0.279,1386.1,gondite_archean,0.701
Madhya Pradesh,23.1861,80.9155,569.5,0.499,37.9,0.277,1186.5,gondite_archean,0.787
Maharashtra,19.9731,78.9578,577.5,0.707,36.9,0.153,1280.4,gondite_archean,0.786
Madhya Pradesh,21.1867,77.6381,639.8,0.557,28.0,0.333,884.1,gondite_archean,0.781
Karnataka,16.4907,77.2885,618.9,0.315,24.5,0.241,1359.2,archean,0.577
Karnataka,16.3404,77.8495,235.8,0.161,34.5,0.233,1469.6,archean,0.447
Andhra Pradesh,18.7042,84.4218,528.7,0.443,28.4,0.096,1329.9,kodurite_archean,0.403
Madhya Pradesh,23.0749,76.8394,141.6,0.169,28.8,0.075,1367.5,gondite_archean,0.615
Goa,15.7063,74.1295,269.0,0.668,36.2,0.109,1511.2,laterite,0.387
Jharkhand,22.0601,86.7947,598.1,0.734,29.4,0.304,768.6,archean,0.567
Karnataka,12.4356,78.4014,753.6,0.662,37.0,0.076,1124.2,archean,0.571
Odisha,19.8029,84.0862,217.8,0.734,34.1,0.34,1183.7,gondite_archean,0.655
Odisha,21.8949,84.6419,339.5,0.29,24.1,0.127,1090.9,gondite_archean,0.619
Odisha,21.9271,84.0142,374.1,0.669,24.5,0.075,1233.0,gondite_archean,0.738
Karnataka,15.6622,77.7152,209.7,0.498,30.1,0.093,1386.4,archean,0.553
Odisha,20.8788,84.5726,757.9,0.184,28.7,0.188,1497.5,gondite_archean,0.523
Madhya Pradesh,23.3352,80.2164,789.8,0.338,30.6,0.302,1788.4,gondite_archean,0.678
Odisha,20.9682,86.0957,494.1,0.44,35.4,0.158,1645.8,gondite_archean,0.759
Karnataka,14.1335,76.316,710.0,0.226,25.1,0.335,893.0,archean,0.649
Karnataka,16.1908,75.4193,542.1,0.373,32.6,0.092,1328.0,archean,0.647
Odisha,20.3359,84.2655,246.3,0.645,26.6,0.328,1766.9,gondite_archean,0.684
Karnataka,17.1853,75.9696,169.6,0.484,35.5,0.289,892.6,archean,0.578
Maharashtra,19.5513,78.9364,799.3,0.3,26.2,0.05,1657.7,gondite_archean,0.698
Maharashtra,19.3801,79.4166,381.0,0.206,29.8,0.326,744.1,gondite_archean,0.731
Odisha,20.1226,84.3335,826.7,0.431,29.5,0.278,869.9,gondite_archean,0.496
Madhya Pradesh,24.4985,80.1556,418.3,0.647,24.7,0.059,924.9,gondite_archean,0.676
Karnataka,15.3188,76.9605,828.5,0.456,30.0,0.065,738.4,archean,0.385
Andhra Pradesh,17.741,82.5499,459.2,0.292,22.8,0.267,822.8,kodurite_archean,0.469
Madhya Pradesh,21.9837,75.388,403.8,0.631,28.3,0.275,838.0,gondite_archean,0.676
Maharashtra,20.4145,80.3583,409.9,0.19,22.3,0.298,1277.2,gondite_archean,0.706
Maharashtra,19.5861,79.1902,124.1,0.727,32.7,0.33,992.0,gondite_archean,0.866
Karnataka,17.5127,78.2886,807.9,0.593,26.4,0.134,1759.7,archean,0.662
Odisha,21.6481,85.9719,598.2,0.744,27.0,0.152,786.8,gondite_archean,0.621
Karnataka,17.4247,78.2419,248.6,0.374,36.9,0.069,801.6,archean,0.489
Odisha,21.2856,84.0267,874.5,0.418,30.0,0.124,1218.1,gondite_archean,0.764
Maharashtra,20.4447,80.3087,753.9,0.604,22.9,0.052,933.7,gondite_archean,0.756
Maharashtra,20.028,79.3048,807.7,0.687,36.5,0.144,1460.2,gondite_archean,0.685
Odisha,20.5263,85.0049,764.8,0.222,33.8,0.209,1016.7,gondite_archean,0.601
Karnataka,13.9496,76.8843,447.1,0.249,23.9,0.214,1692.7,archean,0.619
Madhya Pradesh,24.2604,80.5678,553.3,0.544,36.4,0.17,1059.5,gondite_archean,0.646
Odisha,21.9797,86.3034,183.6,0.496,29.4,0.086,1778.6,gondite_archean,0.813
Odisha,21.4762,85.363,182.6,0.254,31.1,0.139,1732.1,gondite_archean,0.705
Andhra Pradesh,18.9754,83.0193,875.8,0.409,27.6,0.065,758.0,kodurite_archean,0.321
Odisha,21.3419,84.385,562.1,0.366,35.2,0.296,1225.1,gondite_archean,0.819
Karnataka,14.3566,77.7229,362.5,0.275,23.4,0.19,1230.3,archean,0.489
Karnataka,17.2546,77.7945,407.7,0.425,26.9,0.33,830.5,archean,0.592
Goa,15.5471,74.0658,126.1,0.435,28.5,0.098,1422.1,laterite,0.278
Maharashtra,19.1711,79.3353,193.1,0.518,37.0,0.249,784.5,gondite_archean,0.731
Karnataka,15.5793,76.1128,766.9,0.639,31.8,0.162,980.9,archean,0.564
Karnataka,16.3928,77.1326,156.1,0.387,24.9,0.097,1610.0,archean,0.489
Odisha,20.7575,84.0887,803.5,0.484,25.7,0.201,1504.6,gondite_archean,0.724
Madhya Pradesh,22.4112,80.0192,525.0,0.556,28.9,0.269,1606.9,gondite_archean,0.781
Odisha,21.9988,85.391,775.7,0.409,28.1,0.325,976.3,gondite_archean,0.687
Karnataka,14.005,76.7922,360.2,0.174,26.4,0.052,1776.2,archean,0.587
Jharkhand,22.7903,86.4567,376.6,0.553,34.9,0.334,1140.2,archean,0.539
Jharkhand,22.0515,86.2071,627.6,0.563,23.9,0.332,899.3,archean,0.643
Madhya Pradesh,21.7794,76.4577,537.2,0.4,24.6,0.101,1160.0,gondite_archean,0.7
Odisha,20.6793,83.8509,113.3,0.547,31.6,0.099,957.2,gondite_archean,0.713
Odisha,22.0048,86.9114,208.4,0.289,35.9,0.328,1161.6,gondite_archean,0.539
Odisha,21.2498,83.5396,729.9,0.334,22.6,0.227,1137.5,gondite_archean,0.763
Jharkhand,23.0884,85.5505,667.6,0.313,36.5,0.162,1304.9,archean,0.521
Andhra Pradesh,18.7085,82.9486,280.9,0.64,36.9,0.079,1195.1,kodurite_archean,0.368
Karnataka,17.6595,74.8341,268.9,0.601,22.8,0.198,1186.3,archean,0.513
Madhya Pradesh,21.5648,78.576,744.3,0.606,24.5,0.095,995.0,gondite_archean,0.594
Karnataka,14.655,77.2188,145.3,0.171,28.3,0.259,912.8,archean,0.406
Goa,15.7166,73.9486,284.0,0.397,25.8,0.252,1608.7,laterite,0.341
Maharashtra,21.0609,79.294,225.1,0.593,27.8,0.251,997.7,gondite_archean,0.784
Andhra Pradesh,17.9342,83.4354,595.5,0.397,28.8,0.149,1320.7,kodurite_archean,0.5
Andhra Pradesh,17.8023,84.3689,651.3,0.644,30.9,0.284,717.8,kodurite_archean,0.351
Maharashtra,19.6326,80.2311,182.3,0.226,37.7,0.252,1631.6,gondite_archean,0.618
Karnataka,16.3971,76.877,582.5,0.56,31.2,0.179,1003.5,archean,0.519
Maharashtra,19.5833,79.7507,697.7,0.281,23.0,0.089,1366.6,gondite_archean,0.704
Andhra Pradesh,17.5675,83.9683,373.1,0.437,36.9,0.15,1211.9,kodurite_archean,0.302
Madhya Pradesh,21.6113,76.3675,631.1,0.729,22.8,0.317,1334.6,gondite_archean,0.898
Madhya Pradesh,22.751,74.5552,171.9,0.511,27.5,0.325,1147.2,gondite_archean,0.747
Odisha,21.0764,85.9424,820.2,0.625,32.8,0.254,1740.5,gondite_archean,0.697
Odisha,19.5033,84.4518,274.3,0.547,32.1,0.228,717.9,gondite_archean,0.639
Maharashtra,20.3914,79.1855,207.7,0.207,35.3,0.326,1414.8,gondite_archean,0.745
Odisha,20.7061,86.0513,723.9,0.221,22.0,0.264,1092.3,gondite_archean,0.733
Jharkhand,23.1315,86.0289,168.0,0.479,28.1,0.232,1127.6,archean,0.572
Odisha,19.7849,84.6022,177.3,0.256,37.8,0.183,1285.1,gondite_archean,0.745
Karnataka,13.9873,76.1108,638.0,0.559,27.0,0.09,1395.6,archean,0.596
Odisha,21.2355,85.927,660.5,0.602,36.0,0.2,1503.3,gondite_archean,0.649
Odisha,20.3536,85.0506,593.7,0.66,25.1,0.088,1759.8,gondite_archean,0.771
Odisha,20.9355,85.5495,533.1,0.202,22.9,0.082,1344.1,gondite_archean,0.527
Madhya Pradesh,23.8702,74.3326,498.5,0.564,26.0,0.142,1375.0,gondite_archean,0.733
Goa,15.6479,74.0916,684.2,0.369,32.3,0.19,908.9,laterite,0.291
Karnataka,17.9237,74.5837,352.6,0.184,34.3,0.261,1064.5,archean,0.631
Maharashtra,19.9898,80.0125,463.3,0.397,37.0,0.125,832.5,gondite_archean,0.695
Karnataka,12.4032,75.8572,504.7,0.247,32.5,0.349,1196.9,archean,0.536
Karnataka,14.6046,74.9606,806.6,0.399,28.2,0.248,1186.2,archean,0.513
Andhra Pradesh,18.9108,83.7975,863.7,0.241,29.6,0.231,1339.9,kodurite_archean,0.362
Karnataka,14.1975,75.0073,413.4,0.248,33.7,0.113,764.4,archean,0.646
Andhra Pradesh,18.3655,83.191,742.4,0.474,23.3,0.22,1698.8,kodurite_archean,0.488
Karnataka,13.9261,75.0739,221.2,0.41,31.5,0.074,1733.5,archean,0.585
Andhra Pradesh,17.6203,83.4537,604.1,0.647,34.5,0.133,1735.0,kodurite_archean,0.536
Odisha,22.1254,86.8983,241.7,0.583,22.6,0.172,1267.9,gondite_archean,0.767
Maharashtra,20.2032,80.1194,860.4,0.163,37.7,0.076,1595.8,gondite_archean,0.643
Odisha,19.8965,85.0395,615.2,0.379,22.9,0.23,1692.6,gondite_archean,0.605
Karnataka,12.3144,77.782,761.1,0.503,27.6,0.29,1310.2,archean,0.541
Andhra Pradesh,18.4472,84.0688,578.9,0.398,37.3,0.212,1365.6,kodurite_archean,0.42
Madhya Pradesh,21.6469,74.4767,583.5,0.608,30.4,0.118,1433.2,gondite_archean,0.634
Odisha,20.8255,84.0718,247.6,0.271,28.2,0.065,1137.6,gondite_archean,0.437
Karnataka,17.4545,75.0813,504.6,0.187,23.1,0.222,1322.6,archean,0.653
Andhra Pradesh,18.3368,84.4196,139.0,0.209,22.7,0.106,1295.4,kodurite_archean,0.3
Goa,15.6737,73.9483,161.8,0.252,24.0,0.087,1270.4,laterite,0.241
Odisha,20.5744,86.9633,647.5,0.719,24.3,0.165,1310.2,gondite_archean,0.827
Karnataka,15.1827,76.1618,119.2,0.351,24.8,0.08,1752.4,archean,0.636
Madhya Pradesh,23.5503,76.5229,414.5,0.292,23.6,0.104,1577.3,gondite_archean,0.698
Karnataka,17.9958,74.7909,324.5,0.36,34.5,0.348,964.7,archean,0.682
Andhra Pradesh,18.7459,82.9493,419.5,0.396,37.7,0.104,1579.1,kodurite_archean,0.46
Karnataka,15.7593,77.8304,743.3,0.67,23.0,0.258,854.0,archean,0.535
Karnataka,15.5658,76.111,515.7,0.748,24.2,0.253,1135.6,archean,0.578
Maharashtra,20.2095,79.3368,386.2,0.506,31.2,0.098,1218.9,gondite_archean,0.613
Madhya Pradesh,22.996,75.6809,693.8,0.165,27.7,0.284,1320.3,gondite_archean,0.71
Madhya Pradesh,23.7869,79.8802,588.1,0.443,24.1,0.128,1161.0,gondite_archean,0.608
Madhya Pradesh,22.798,76.3055,105.2,0.448,26.6,0.27,726.3,gondite_archean,0.732
Odisha,20.9149,83.82,600.5,0.48,28.5,0.206,1686.2,gondite_archean,0.722
Odisha,19.5677,86.5158,561.7,0.684,31.6,0.293,1172.6,gondite_archean,0.771
Madhya Pradesh,21.6327,76.1504,258.9,0.298,26.9,0.217,1346.8,gondite_archean,0.682
Karnataka,16.0002,74.8263,170.2,0.253,30.3,0.114,1011.6,archean,0.589
Odisha,21.4481,85.8411,738.9,0.71,22.3,0.096,1674.8,gondite_archean,0.72
Karnataka,15.6698,77.1521,643.3,0.709,38.0,0.266,1015.9,archean,0.633
Odisha,20.162,83.9834,787.3,0.45,32.8,0.122,1533.8,gondite_archean,0.679
Maharashtra,19.7815,79.3214,267.8,0.736,32.3,0.33,1033.7,gondite_archean,0.807
Maharashtra,21.4141,79.2871,204.6,0.553,33.7,0.223,927.5,gondite_archean,0.76
Karnataka,14.0292,76.2099,616.2,0.597,25.7,0.172,996.1,archean,0.619
Goa,15.2962,74.1756,817.6,0.658,24.9,0.337,1114.3,laterite,0.289
Karnataka,12.4058,76.4447,187.2,0.299,27.1,0.293,1663.0,archean,0.603
Andhra Pradesh,18.647,82.7934,652.3,0.717,32.9,0.149,1250.6,kodurite_archean,0.404
Madhya Pradesh,22.787,74.9596,349.7,0.631,35.8,0.091,1747.6,gondite_archean,0.817
Maharashtra,21.0299,80.3915,350.3,0.665,24.1,0.262,1516.2,gondite_archean,0.663
Maharashtra,19.6308,80.2461,235.1,0.182,33.5,0.193,1634.0,gondite_archean,0.573
Andhra Pradesh,18.3234,82.8784,676.3,0.457,31.7,0.188,1611.6,kodurite_archean,0.368
Andhra Pradesh,18.5641,82.7108,771.1,0.553,33.2,0.159,1667.2,kodurite_archean,0.373
Karnataka,17.7615,74.6888,869.1,0.557,32.1,0.131,973.7,archean,0.587
Goa,15.2386,74.1878,414.5,0.234,22.2,0.213,1773.4,laterite,0.154
Karnataka,15.3835,76.2627,803.9,0.453,30.1,0.092,1781.0,archean,0.47
Odisha,19.7201,85.821,576.3,0.399,28.8,0.286,915.3,gondite_archean,0.719
Karnataka,14.9772,75.5266,701.7,0.458,27.1,0.229,1795.3,archean,0.652
Karnataka,17.9845,75.8801,143.8,0.273,28.7,0.116,700.2,archean,0.448
Odisha,19.7028,86.0341,843.0,0.408,23.9,0.204,1083.7,gondite_archean,0.719
Karnataka,16.0386,77.3749,188.5,0.171,37.9,0.12,759.2,archean,0.568
Karnataka,14.8872,77.2023,507.1,0.667,35.9,0.053,1555.9,archean,0.563
Karnataka,18.4275,76.4329,889.5,0.603,26.0,0.212,1791.3,archean,0.536
Odisha,20.7104,84.3216,755.1,0.352,35.2,0.05,1038.6,gondite_archean,0.746
Odisha,20.2007,83.7387,249.7,0.483,26.7,0.175,1114.6,gondite_archean,0.55
Odisha,22.3602,83.7108,338.1,0.329,27.1,0.099,1561.5,gondite_archean,0.663
Odisha,21.4047,83.9335,156.4,0.696,25.0,0.296,1299.1,gondite_archean,0.796
Odisha,22.0618,83.5463,509.4,0.612,37.0,0.323,1601.6,gondite_archean,0.72
Goa,15.1594,73.9421,331.2,0.376,28.3,0.213,875.9,laterite,0.196
Karnataka,15.2717,77.6858,691.6,0.537,24.5,0.214,796.2,archean,0.599
Karnataka,14.6879,74.6592,319.2,0.723,37.3,0.156,747.4,archean,0.566
Goa,15.113,74.1818,186.9,0.739,28.1,0.283,1076.9,laterite,0.261
Madhya Pradesh,21.6721,75.1682,850.5,0.701,36.2,0.238,1589.1,gondite_archean,0.744
Karnataka,16.1317,75.9238,218.8,0.508,35.0,0.165,845.5,archean,0.517
Odisha,20.2124,84.5496,614.2,0.511,33.1,0.159,1606.4,gondite_archean,0.702
Andhra Pradesh,17.7702,82.7197,806.9,0.356,32.9,0.058,1459.1,kodurite_archean,0.258
Karnataka,12.3623,76.9393,292.6,0.382,23.3,0.094,1027.8,archean,0.526
Odisha,20.423,86.7412,229.4,0.729,25.3,0.272,1301.3,gondite_archean,0.744
Goa,15.4432,74.0673,256.4,0.25,36.7,0.148,1109.3,laterite,0.181
Jharkhand,23.4759,86.1949,804.7,0.18,26.1,0.19,949.7,archean,0.577
Maharashtra,21.298,79.3475,373.7,0.727,29.1,0.197,1086.8,gondite_archean,0.755
Maharashtra,21.0295,79.1837,447.0,0.659,27.8,0.288,1735.1,gondite_archean,0.818
Madhya Pradesh,23.5957,80.4408,776.0,0.387,22.8,0.171,1441.1,gondite_archean,0.798
Karnataka,16.1258,75.2457,699.5,0.477,25.3,0.138,1523.5,archean,0.542
Karnataka,13.4042,78.3691,672.1,0.724,28.8,0.193,1687.8,archean,0.753
Odisha,20.8402,83.9321,264.8,0.151,22.6,0.343,966.6,gondite_archean,0.657
Maharashtra,21.0977,79.6013,222.5,0.587,31.6,0.269,1546.7,gondite_archean,0.741
Karnataka,16.215,74.7738,817.9,0.222,27.2,0.295,1357.0,archean,0.551
Karnataka,15.0773,77.9182,372.0,0.672,23.4,0.283,1632.3,archean,0.601
Odisha,21.6198,85.3737,608.3,0.268,25.4,0.062,1054.3,gondite_archean,0.55
Madhya Pradesh,24.0028,79.3354,448.3,0.722,33.5,0.329,1280.3,gondite_archean,0.72
Karnataka,15.4611,76.7577,580.5,0.25,28.1,0.235,1766.8,archean,0.56
Maharashtra,21.3065,80.0244,573.4,0.265,32.7,0.237,1362.7,gondite_archean,0.885
Karnataka,15.3755,75.2902,744.1,0.261,23.4,0.181,1424.1,archean,0.444
Karnataka,13.7989,76.7327,377.6,0.71,36.8,0.201,1060.7,archean,0.459
Goa,15.0096,74.0764,692.5,0.441,23.4,0.342,1269.8,laterite,0.273
Madhya Pradesh,21.8281,77.868,443.3,0.195,23.7,0.301,963.8,gondite_archean,0.647
Maharashtra,19.1549,79.6536,195.4,0.172,22.8,0.3,829.8,gondite_archean,0.539
Odisha,20.8137,86.454,309.9,0.403,22.6,0.185,1335.4,gondite_archean,0.557
Karnataka,12.6931,75.9672,179.6,0.61,37.5,0.341,1651.6,archean,0.669
Madhya Pradesh,23.453,76.2816,604.6,0.423,29.7,0.277,1010.1,gondite_archean,0.727
Odisha,20.9569,86.6948,588.3,0.478,26.0,0.153,1637.3,gondite_archean,0.691
Madhya Pradesh,22.8016,74.7966,112.8,0.728,28.0,0.231,787.7,gondite_archean,0.773
Madhya Pradesh,21.4414,78.6538,713.1,0.394,36.1,0.245,1689.2,gondite_archean,0.714
Madhya Pradesh,21.4595,76.4775,261.4,0.695,34.2,0.253,1031.1,gondite_archean,0.783
Karnataka,13.4676,76.9665,132.3,0.346,29.5,0.094,1783.1,archean,0.491
Odisha,19.8911,84.2124,715.2,0.405,31.0,0.056,737.9,gondite_archean,0.749
Goa,15.0694,74.0692,830.6,0.383,35.3,0.09,1728.9,laterite,0.255
Maharashtra,21.3533,79.8532,390.7,0.713,26.4,0.15,1470.9,gondite_archean,0.79
Maharashtra,19.1595,79.2744,326.2,0.333,37.7,0.243,1489.4,gondite_archean,0.641
Jharkhand,22.7544,86.6037,447.6,0.672,24.9,0.334,940.6,archean,0.687
Karnataka,15.9534,76.2783,693.9,0.287,22.9,0.14,1221.7,archean,0.463
Odisha,20.5644,84.8999,145.9,0.5,36.1,0.096,1357.6,gondite_archean,0.636
Maharashtra,20.0268,79.5093,105.9,0.565,32.6,0.062,1105.1,gondite_archean,0.826
Jharkhand,22.8415,86.0039,827.9,0.58,31.3,0.289,1650.8,archean,0.497
Karnataka,18.2836,77.2887,166.6,0.668,29.7,0.071,1304.7,archean,0.405
Karnataka,17.7054,75.316,761.2,0.485,22.9,0.342,1263.9,archean,0.56
Andhra Pradesh,17.9574,82.8854,203.3,0.329,34.5,0.191,950.2,kodurite_archean,0.223
Odisha,20.4982,86.7897,374.4,0.743,29.8,0.104,1680.3,gondite_archean,0.883
Jharkhand,22.1004,85.1934,676.4,0.319,24.9,0.062,724.0,archean,0.479
Maharashtra,19.3361,79.4354,584.7,0.407,22.4,0.285,711.6,gondite_archean,0.707
Karnataka,15.481,76.4079,411.4,0.682,36.3,0.151,1376.6,archean,0.621
Goa,15.7696,74.0545,462.3,0.317,37.3,0.093,1337.8,laterite,0.178
Karnataka,18.4922,74.7199,562.8,0.2,24.5,0.182,1261.5,archean,0.438
Odisha,20.4494,83.8044,342.6,0.73,37.1,0.15,1327.9,gondite_archean,0.751
Odisha,20.2729,85.0748,654.3,0.59,37.9,0.136,1292.0,gondite_archean,0.757
Madhya Pradesh,22.4198,75.3533,882.0,0.662,30.0,0.231,950.0,gondite_archean,0.863
Karnataka,18.4369,76.9454,396.8,0.613,24.7,0.165,1081.7,archean,0.611
Karnataka,17.0816,76.4367,735.2,0.496,27.5,0.293,962.1,archean,0.569
Odisha,19.5273,85.769,508.9,0.417,37.5,0.221,1649.8,gondite_archean,0.593
Odisha,21.2076,86.5379,566.5,0.581,28.0,0.078,1203.7,gondite_archean,0.777
Odisha,22.4002,86.8535,298.1,0.359,36.3,0.34,1187.8,gondite_archean,0.669
Karnataka,15.4196,77.2511,318.8,0.592,22.8,0.065,1124.9,archean,0.474
Karnataka,14.0848,75.269,347.6,0.735,28.6,0.183,1334.2,archean,0.539
Jharkhand,22.4832,86.3626,672.8,0.514,23.4,0.253,770.5,archean,0.668
Odisha,22.0249,83.6062,775.1,0.426,25.5,0.09,1748.6,gondite_archean,0.735
Odisha,20.0973,84.7174,596.2,0.477,24.0,0.137,962.6,gondite_archean,0.656
Maharashtra,19.5436,79.2334,412.7,0.736,37.3,0.29,965.8,gondite_archean,0.657
Odisha,20.4507,84.4338,504.7,0.617,35.7,0.303,1095.6,gondite_archean,0.655
Odisha,21.6047,83.5344,427.3,0.348,33.1,0.28,1034.5,gondite_archean,0.755
Andhra Pradesh,17.9409,83.3927,681.6,0.566,37.8,0.118,1428.5,kodurite_archean,0.458
Odisha,21.7554,85.4889,319.7,0.435,27.3,0.224,1677.9,gondite_archean,0.72
